Table,State,Distt.,Area Name,Age,Total Persons,Total Males,Total Females,Rural Persons  ,Rural Males,Rural Females,Urban Persons  ,Urban Males,Urban Females
C1300,0,0,India,All ages,1210854977,623270258,587584719,833748852,427781058,405967794,377106125,195489200,181616925
C1300,0,0,India,0,20311234,10633298,9677936,14884690,7784009,7100681,5426544,2849289,2577255
C1300,0,0,India,1,21755197,11381468,10373729,15731709,8216086,7515623,6023488,3165382,2858106
C1300,0,0,India,2,23056268,11952853,11103415,17065758,8827253,8238505,5990510,3125600,2864910
C1300,0,0,India,3,23974041,12331431,11642610,17778869,9116778,8662091,6195172,3214653,2980519
C1300,0,0,India,4,23710038,12333024,11377014,17525634,9092251,8433383,6184404,3240773,2943631
C1300,0,0,India,5,26054230,13725480,12328750,19294779,10139548,9155231,6759451,3585932,3173519
C1300,0,0,India,6,25654245,13394700,12259545,19041426,9908524,9132902,6612819,3486176,3126643
C1300,0,0,India,7,24826640,12903364,11923276,18149844,9399767,8750077,6676796,3503597,3173199
C1300,0,0,India,8,26968373,14061937,12906436,20206981,10497018,9709963,6761392,3564919,3196473
C1300,0,0,India,9,23424638,12214985,11209653,17114582,8880402,8234180,6310056,3334583,2975473
C1300,0,0,India,10,30552107,16089436,14462671,22687766,11899758,10788008,7864341,4189678,3674663
C1300,0,0,India,11,24740946,12962604,11778342,17851313,9319598,8531715,6889633,3643006,3246627
C1300,0,0,India,12,27877307,14637892,13239415,20589319,10781450,9807869,7287988,3856442,3431546
C1300,0,0,India,13,24280683,12563775,11716908,17490173,9024384,8465789,6790510,3539391,3251119
C1300,0,0,India,14,25258169,13165128,12093041,18185923,9462968,8722955,7072246,3702160,3370086
C1300,0,0,India,15,25899454,13739746,12159708,18593646,9873668,8719978,7305808,3866078,3439730
C1300,0,0,India,16,24592293,13027935,11564358,17433799,9253785,8180014,7158494,3774150,3384344
C1300,0,0,India,17,21217467,11349449,9868018,14448773,7754277,6694496,6768694,3595172,3173522
C1300,0,0,India,18,27958147,15020851,12937296,19559614,10518623,9040991,8398533,4502228,3896305
C1300,0,0,India,19,20859088,10844415,10014673,13866640,7170204,6696436,6992448,3674211,3318237
C1300,0,0,India,20,28882735,14892165,13990570,19978794,10285627,9693167,8903941,4606538,4297403
C1300,0,0,India,21,19978972,10532278,9446694,12952796,6856190,6096606,7026176,3676088,3350088
C1300,0,0,India,22,23528225,12392976,11135249,15742514,8334303,7408211,7785711,4058673,3727038
C1300,0,0,India,23,19154055,9674189,9479866,12391339,6201615,6189724,6762716,3472574,3290142
C1300,0,0,India,24,19880235,10093085,9787150,12769603,6460927,6308676,7110632,3632158,3478474
C1300,0,0,India,25,27768078,14311524,13456554,18881232,9850468,9030764,8886846,4461056,4425790
C1300,0,0,India,26,20076997,10315030,9761967,12914351,6648839,6265512,7162646,3666191,3496455
C1300,0,0,India,27,16709350,8552032,8157318,10451269,5330170,5121099,6258081,3221862,3036219
C1300,0,0,India,28,22127016,10719926,11407090,14730861,6997429,7733432,7396155,3722497,3673658
C1300,0,0,India,29,14732524,7445696,7286828,9090557,4549083,4541474,5641967,2896613,2745354
C1300,0,0,India,30,30399029,15628996,14770033,20870895,10787880,10083015,9528134,4841116,4687018
C1300,0,0,India,31,13823245,7157502,6665743,8512794,4388631,4124163,5310451,2768871,2541580
C1300,0,0,India,32,17613544,8801105,8812439,11567758,5690555,5877203,6045786,3110550,2935236
C1300,0,0,India,33,12764541,6108879,6655662,8163530,3766672,4396858,4601011,2342207,2258804
C1300,0,0,India,34,13994592,6964192,7030400,8796802,4300454,4496348,5197790,2663738,2534052
C1300,0,0,India,35,28422631,15036666,13385965,19443380,10411274,9032106,8979251,4625392,4353859
C1300,0,0,India,36,15827717,8067568,7760149,10277082,5232618,5044464,5550635,2834950,2715685
C1300,0,0,India,37,11692231,5784879,5907352,7314107,3562106,3752001,4378124,2222773,2155351
C1300,0,0,India,38,17471758,8090401,9381357,11732906,5274806,6458100,5738852,2815595,2923257
C1300,0,0,India,39,11726347,5939867,5786480,7295232,3644757,3650475,4431115,2295110,2136005
C1300,0,0,India,40,28528992,15173411,13355581,19843604,10642393,9201211,8685388,4531018,4154370
C1300,0,0,India,41,11567894,6172297,5395597,7204399,3850816,3353583,4363495,2321481,2042014
C1300,0,0,India,42,13380642,6856826,6523816,8687455,4393679,4293776,4693187,2463147,2230040
C1300,0,0,India,43,9334352,4468914,4865438,5869523,2695097,3174426,3464829,1773817,1691012
C1300,0,0,India,44,9626232,4873938,4752294,5976027,2983250,2992777,3650205,1890688,1759517
C1300,0,0,India,45,23872961,12685175,11187786,16396175,8815165,7581010,7476786,3870010,3606776
C1300,0,0,India,46,10992678,5735540,5257138,6964766,3627761,3337005,4027912,2107779,1920133
