Table Name,State Code,District Code,Tehsil Code,Area Name,Age,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
C3713,0,0,0,INDIA,All ages,1028610328,532156772,496453556,742490639,381602674,360887965,286119689,150554098,135565591
C3713,0,0,0,INDIA,0,16561349,8648208,7913141,12884538,6711420,6173118,3676811,1936788,1740023
C3713,0,0,0,INDIA,1,19647573,10246425,9401148,14925518,7755233,7170285,4722055,2491192,2230863
C3713,0,0,0,INDIA,2,24168984,12486394,11682590,18734931,9637881,9097050,5434053,2848513,2585540
C3713,0,0,0,INDIA,3,25443946,12937405,12506541,19580602,9922445,9658157,5863344,3014960,2848384
C3713,0,0,0,INDIA,4,24625312,12801180,11824132,18982821,9830219,9152602,5642491,2970961,2671530
C3713,0,0,0,INDIA,5,26959509,14216386,12743123,20769519,10922483,9847036,6189990,3293903,2896087
C3713,0,0,0,INDIA,6,26412941,13663205,12749736,20592568,10627967,9964601,5820373,3035238,2785135
C3713,0,0,0,INDIA,7,23045028,11910330,11134698,17360501,8950259,8410242,5684527,2960071,2724456
C3713,0,0,0,INDIA,8,31031074,16174274,14856800,23981724,12475322,11506402,7049350,3698952,3350398
C3713,0,0,0,INDIA,9,20868238,10770638,10097600,15751933,8118667,7633266,5116305,2651971,2464334
C3713,0,0,0,INDIA,10,33855378,17941703,15913675,25813075,13661419,12151656,8042303,4280284,3762019
C3713,0,0,0,INDIA,11,18078949,9505257,8573692,13013528,6844903,6168625,5065421,2660354,2405067
C3713,0,0,0,INDIA,12,30427429,16153819,14273610,22868526,12137327,10731199,7558903,4016492,3542411
C3713,0,0,0,INDIA,13,19897051,10219364,9677687,14310749,7374738,6936011,5586302,2844626,2741676
C3713,0,0,0,INDIA,14,22588051,11812734,10775317,16376444,8584358,7792086,6211607,3228376,2983231
C3713,0,0,0,INDIA,15,22521059,12225932,10295127,16322708,8920230,7402478,6198351,3305702,2892649
C3713,0,0,0,INDIA,16,21777810,11572289,10205521,15480193,8277681,7202512,6297617,3294608,3003009
C3713,0,0,0,INDIA,17,14898862,8033721,6865141,9889295,5342038,4547257,5009567,2691683,2317884
C3713,0,0,0,INDIA,18,27686902,15166111,12520791,19632050,10731079,8900971,8054852,4435032,3619820
C3713,0,0,0,INDIA,19,13331257,6941938,6389319,8737577,4477390,4260187,4593680,2464548,2129132
C3713,0,0,0,INDIA,20,28367204,14595850,13771354,20065489,10236624,9828865,8301715,4359226,3942489
C3713,0,0,0,INDIA,21,12110022,6548123,5561899,7809759,4154299,3655460,4300263,2393824,1906439
C3713,0,0,0,INDIA,22,21428918,11404995,10023923,14810704,7816953,6993751,6618214,3588042,3030172
C3713,0,0,0,INDIA,23,13465533,6562775,6902758,9069399,4247159,4822240,4396134,2315616,2080518
C3713,0,0,0,INDIA,24,14392455,7209407,7183048,9643553,4672447,4971106,4748902,2536960,2211942
C3713,0,0,0,INDIA,25,28917266,14934412,13982854,20579681,10733195,9846486,8337585,4201217,4136368
C3713,0,0,0,INDIA,26,14816846,7474319,7342527,10042974,4975142,5067832,4773872,2499177,2274695
C3713,0,0,0,INDIA,27,10990931,5640459,5350472,7205197,3628535,3576662,3785734,2011924,1773810
C3713,0,0,0,INDIA,28,21781213,10112839,11668374,15441434,6951200,8490234,6339779,3161639,3178140
C3713,0,0,0,INDIA,29,6916137,3395517,3520620,4415854,2089101,2326753,2500283,1306416,1193867
C3713,0,0,0,INDIA,30,34634209,18093460,16540749,24575420,12896797,11678623,10058789,5196663,4862126
C3713,0,0,0,INDIA,31,5739449,2977527,2761922,3743765,1869866,1873899,1995684,1107661,888023
C3713,0,0,0,INDIA,32,17482474,8837855,8644619,12157220,6038811,6118409,5325254,2799044,2526210
C3713,0,0,0,INDIA,33,8610078,3791820,4818258,6016761,2494896,3521865,2593317,1296924,1296393
C3713,0,0,0,INDIA,34,7807834,3661254,4146580,5335713,2388409,2947304,2472121,1272845,1199276
C3713,0,0,0,INDIA,35,32175754,17754473,14421281,22570044,12634603,9935441,9605710,5119870,4485840
C3713,0,0,0,INDIA,36,10948347,5459654,5488693,7548480,3736488,3811992,3399867,1723166,1676701
C3713,0,0,0,INDIA,37,6584873,3268803,3316070,4369963,2124994,2244969,2214910,1143809,1071101
C3713,0,0,0,INDIA,38,15905963,7126262,8779701,11239034,4855853,6383181,4666929,2270409,2396520
C3713,0,0,0,INDIA,39,4959148,2429535,2529613,3231023,1529686,1701337,1728125,899849,828276
C3713,0,0,0,INDIA,40,30733879,17299610,13434269,21625954,12227829,9398125,9107925,5071781,4036144
C3713,0,0,0,INDIA,41,4002930,2184688,1818242,2666033,1419492,1246541,1336897,765196,571701
C3713,0,0,0,INDIA,42,11168253,5922453,5245800,7618870,3949912,3668958,3549383,1972541,1576842
C3713,0,0,0,INDIA,43,5432438,2346733,3085705,3729003,1483009,2245994,1703435,863724,839711
C3713,0,0,0,INDIA,44,4400797,2125231,2275566,2925311,1340197,1585114,1475486,785034,690452
C3713,0,0,0,INDIA,45,24710862,13759010,10951852,17408569,9745602,7662967,7302293,4013408,3288885
C3713,0,0,0,INDIA,46,5659548,2885114,2774434,3862756,1923083,1939673,1796792,962031,834761
C3713,0,0,0,INDIA,47,4146735,2110068,2036667,2707723,1324346,1383377,1439012,785722,653290
C3713,0,0,0,INDIA,48,9899369,4570723,5328646,7037630,3079901,3957729,2861739,1490822,1370917
C3713,0,0,0,INDIA,49,2992462,1542971,1449491,1938324,950741,987583,1054138,592230,461908
C3713,0,0,0,INDIA,50,21540415,11929738,9610677,15598975,8702968,6896007,5941440,3226770,2714670
C3713,0,0,0,INDIA,51,2757432,1582201,1175231,1831297,1015978,815319,926135,566223,359912
C3713,0,0,0,INDIA,52,6225881,3389644,2836237,4273347,2260397,2012950,1952534,1129247,823287
C3713,0,0,0,INDIA,53,3164651,1487972,1676679,2154312,922449,1231863,1010339,565523,444816
C3713,0,0,0,INDIA,54,2899180,1462053,1437127,1919667,910899,1008768,979513,551154,428359
C3713,0,0,0,INDIA,55,14963273,7531157,7432116,11004591,5573426,5431165,3958682,1957731,2000951
C3713,0,0,0,INDIA,56,3518257,1809330,1708927,2475221,1230968,1244253,1043036,578362,464674
C3713,0,0,0,INDIA,57,2177975,1110799,1067176,1471252,704601,766651,706723,406198,300525
C3713,0,0,0,INDIA,58,5355016,2267315,3087701,3937196,1536188,2401008,1417820,731127,686693
C3713,0,0,0,INDIA,59,1638826,864421,774405,1082809,527571,555238,556017,336850,219167
C3713,0,0,0,INDIA,60,18141973,9029205,9112768,13846126,6995426,6850700,4295847,2033779,2262068
C3713,0,0,0,INDIA,61,1733310,918063,815247,1247730,635435,612295,485580,282628,202952
C3713,0,0,0,INDIA,62,4064010,2013153,2050857,3017149,1454487,1562662,1046861,558666,488195
C3713,0,0,0,INDIA,63,2032394,866527,1165867,1468453,564552,903901,563941,301975,261966
C3713,0,0,0,INDIA,64,1545092,759399,785693,1072511,496826,575685,472581,262573,210008
C3713,0,0,0,INDIA,65,12943767,6240628,6703139,9835671,4818520,5017151,3108096,1422108,1685988
C3713,0,0,0,INDIA,66,1842746,931608,911138,1337314,664235,673079,505432,267373,238059
C3713,0,0,0,INDIA,67,1389037,716620,672417,964842,482998,481844,424195,233622,190573
C3713,0,0,0,INDIA,68,2751020,1149161,1601859,2065606,816876,1248730,685414,332285,353129
C3713,0,0,0,INDIA,69,880385,434086,446299,613323,288077,325246,267062,146009,121053
C3713,0,0,0,INDIA,70,10683125,5413125,5270000,8269937,4282512,3987425,2413188,1130613,1282575
C3713,0,0,0,INDIA,71,813785,448784,365001,589365,316423,272942,224420,132361,92059
C3713,0,0,0,INDIA,72,1851177,968120,883057,1346646,697355,649291,504531,270765,233766
C3713,0,0,0,INDIA,73,744499,367050,377449,514261,238235,276026,230238,128815,101423
C3713,0,0,0,INDIA,74,616058,330609,285449,409267,212467,196800,206791,118142,88649
C3713,0,0,0,INDIA,75,4395972,2176473,2219499,3331987,1682992,1648995,1063985,493481,570504
C3713,0,0,0,INDIA,76,717945,380193,337752,500093,260567,239526,217852,119626,98226
C3713,0,0,0,INDIA,77,369926,201104,168822,246780,130011,116769,123146,71093,52053
C3713,0,0,0,INDIA,78,801367,367422,433945,573623,250681,322942,227744,116741,111003
C3713,0,0,0,INDIA,79,266015,138017,127998,177657,87870,89787,88358,50147,38211
C3713,0,0,0,INDIA,80,3484205,1690327,1793878,2693434,1341946,1351488,790771,348381,442390
C3713,0,0,0,INDIA,81,260732,143661,117071,189022,101694,87328,71710,41967,29743
C3713,0,0,0,INDIA,82,456114,235839,220275,325070,167454,157616,131044,68385,62659
C3713,0,0,0,INDIA,83,191874,95901,95973,128922,61879,67043,62952,34022,28930
C3713,0,0,0,INDIA,84,173009,92223,80786,111500,58758,52742,61509,33465,28044
C3713,0,0,0,INDIA,85,1127207,541946,585261,837589,416389,421200,289618,125557,164061
C3713,0,0,0,INDIA,86,173485,91441,82044,117571,62258,55313,55914,29183,26731
C3713,0,0,0,INDIA,87,119867,62886,56981,78742,41273,37469,41125,21613,19512
C3713,0,0,0,INDIA,88,167513,78875,88638,119685,55097,64588,47828,23778,24050
C3713,0,0,0,INDIA,89,73487,35750,37737,50060,23791,26269,23427,11959,11468
C3713,0,0,0,INDIA,90,806412,374483,431929,620879,298225,322654,185533,76258,109275
C3713,0,0,0,INDIA,91,68585,35799,32786,48444,24985,23459,20141,10814,9327
C3713,0,0,0,INDIA,92,120898,60765,60133,86453,43450,43003,34445,17315,17130
C3713,0,0,0,INDIA,93,56603,27271,29332,39076,18341,20735,17527,8930,8597
C3713,0,0,0,INDIA,94,49209,24778,24431,34310,17096,17214,14899,7682,7217
C3713,0,0,0,INDIA,95,295868,142394,153474,224874,111548,113326,70994,30846,40148
C3713,0,0,0,INDIA,96,65322,33120,32202,47033,23934,23099,18289,9186,9103
C3713,0,0,0,INDIA,97,42135,21566,20569,29326,14934,14392,12809,6632,6177
C3713,0,0,0,INDIA,98,102439,48749,53690,76516,36204,40312,25923,12545,13378
C3713,0,0,0,INDIA,99,64282,31067,33215,47749,23091,24658,16533,7976,8557
