S. No.,State/UT,Area [Sq. Km.] - Rural,Area [Sq. Km.] - Urban,Area [Sq. Km.] - Total,Area [Sq. Km.] - Rural %,Number of Districts,Number of Villages
1,Andhra Pradesh,156086,4119,160205,97.43,13,17039
2,Arunachal Pradesh,NA,NA,83743,NA,17,5589
3,Assam,77476.23,961.77,78438,98.77,27,26395
4,Bihar,92358.4,1804.6,94163,98.08,38,44874
5,Chhattisgarh,133325.25,1865.75,135191,98.62,27,20126
6,Goa,3190.33,511.67,3702,86.18,2,334
7,Gujarat,190796.5,5227.5,196024,97.33,33,18225
8,Haryana,42931.63,1280.37,44212,97.1,21,6841
9,Himachal Pradesh,55431.29,241.71,55673,99.57,12,20690
10,Jammu & Kashmir,221285.9,950.1,222236,99.57,22,6551
11,Jharkhand,77921.57,1792.43,79714,97.75,24,32394
12,Karnataka,186623.78,5167.22,191791,97.31,30,29340
13,Kerala,35611.14,3251.86,38863,91.63,14,1018
14,Madhya Pradesh,301283.24,6961.76,308245,97.74,51,54903
15,Maharashtra,300357.2,7355.8,307713,97.61,33,43663
16,Manipur,22183.1,143.9,22327,99.36,9,2588
17,Meghalaya,22199.28,229.72,22429,98.98,11,6839
18,Mizoram,20494.08,586.92,21081,97.22,9,830
19,Nagaland,16431.76,147.24,16579,99.11,11,1428
20,Odisha,152912.87,2794.13,155707,98.21,30,51313
21,Punjab,48283.43,2078.57,50362,95.87,22,12581
22,Rajasthan,336807.81,5431.19,342239,98.41,33,44672
23,Sikkim,NA,NA,7096,NA,4,452
24,Tamil Nadu,117532.75,12525.25,130058,90.37,32,15979
25,Telangana,111105,3735,114840,96.75,10,10761
26,Tripura,10346.6,139.4,10486,98.67,8,875
27,Uttarakhand,52686.23,796.77,53483,98.51,13,16793
28,Uttar Pradesh,234369.81,6558.19,240928,97.28,75,106704
29,West Bengal,85427.26,3324.74,88752,96.25,18,40203
30,A& N Islands,8222.66,26.34,8249,99.68,3,555
31,Chandigarh,34.66,79.34,114,30.4,1,5
32,D & N Haveli,473.83,17.17,491,96.5,1,65
33,Daman & Diu,87.74,24.26,112,78.34,2,19
34,Delhi,558.32,924.68,1483,37.65,11,112
35,Lakshadweep,21.41,10.59,32,66.91,1,21
36,Puducherry,345.59,133.41,479,72.15,4,90
All India,All India,3115202.65,78091.61,3287240,94.77,672,640867
